2021-08-16 10:58:24,046 166162   1629125904	pi3-r1-m2-l5-p2.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fea1:1d8e:55596=2, /fd65:aeb8:64e2:a7c:ba27:ebff:febd:ecf0:55348=2, /fd65:aeb8:64e2:a7c:ba27:ebff:fefc:80f1:33828=2, /fd65:aeb8:64e2:a7c:ba27:ebff:fefb:438:50224=2, /fd65:aeb8:64e2:a7c:ba27:ebff:feff:aca5:47962=2, /fd65:aeb8:64e2:a7c:ba27:ebff:fe40:483d:55400=2, /fd65:aeb8:64e2:a7c:ba27:ebff:fe08:be9c:55724=1, /fd65:aeb8:64e2:a7c:ba27:ebff:fe3b:89c9:35942=2, /fd65:aeb8:64e2:a7c:ba27:ebff:fe68:e899:42358=2}, messageBytes={2-1=855, 3-1=826, 4-1=817, 5-1=1076, 6-1=839, 7-1=1100, 8-1=878, -1-1=40541, 9-1=865}}
2021-08-16 10:58:24,046 166162   1629125904	pi3-r1-m2-l5-p2.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=5730, sys-ms=1200}
2021-08-16 10:58:24,231 166347   1629125904	pi3-r1-m2-l4-p4.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:fe40:483d:58182=83}, messageBytes={2-4=35415}}
2021-08-16 10:58:24,232 166348   1629125904	pi3-r1-m2-l4-p4.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=7880, sys-ms=2270}
2021-08-16 10:58:25,331 167447   1629125905	pi3-r1-m2-l5-p3.pi3lan.local:6700	  8:v6         	tuple_inRate.count     	232
2021-08-16 10:58:25,332 167448   1629125905	pi3-r1-m2-l5-p3.pi3lan.local:6700	  8:v6         	tuple_inRate.mean_rate 	1.933202945367558E-6
2021-08-16 10:58:25,332 167448   1629125905	pi3-r1-m2-l5-p3.pi3lan.local:6700	  8:v6         	tuple_outRate.count    	232
2021-08-16 10:58:25,334 167450   1629125905	pi3-r1-m2-l5-p3.pi3lan.local:6700	  8:v6         	tuple_outRate.mean_rate	1.9332056864200166E-6
2021-08-16 10:58:25,615 167731   1629125905	pi3-r1-m2-l5-p3.pi3lan.local:6700	 -1:__system   	__recv-iconnection     	{dequeuedMessages=0, enqueued={/fd65:aeb8:64e2:a7c:ba27:ebff:febd:ecf0:45834=53, /fd65:aeb8:64e2:a7c:ba27:ebff:fea1:1d8e:53270=41}, messageBytes={5-8=3266, 7-8=4221}}
2021-08-16 10:58:25,616 167732   1629125905	pi3-r1-m2-l5-p3.pi3lan.local:6700	 -1:__system   	CPU                    	{user-ms=7160, sys-ms=2390}
2021-08-16 10:59:01,887 204003   1629125941	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_inRate.count     	23
2021-08-16 10:59:01,888 204004   1629125941	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_inRate.mean_rate 	1.277705654551728E-7
2021-08-16 10:59:01,889 204005   1629125941	pi3-r1-m2-l5-p1.pi3lan.local:6700	  3:v1         	tuple_outRate.count    	23
